Id,Ident,Type,Name,Latitude_deg,Longitude_deg,Elevation_ft,Continent,Country_name,Iso_country,Region_name,Iso_region,Local_region,Municipality,Scheduled_service,Gps_code,Iata_code,Local_code,Home_link,Wikipedia_link,Keywords,Score,Last_updated
12432,5KS0,balloonport,"Anthony Balloonport",37.094501,-97.961403,1250,NA,"United States",US,Kansas,US-KS,KS,Anthony,0,5KS0,,5KS0,,,,25,2020-12-18T18:10:43+00:00
16882,CO28,balloonport,"Suckla Farms Balloonport",40.05830001831055,-104.89199829101562,5050,NA,"United States",US,Colorado,US-CO,CO,Dacono,0,CO28,,CO28,,,,25,2008-06-13T14:30:04+00:00
331321,GB-0609,balloonport,"Black Horse Ballooning Club",51.710142,-0.712451,,EU,"United Kingdom",GB,England,GB-ENG,ENG,"Great Missenden, Bucks",0,,,,https://www.bhbc.club,,,0,2019-05-26T05:58:54+00:00
38811,AR-0136,balloonport,"El Manantial Airport",-35.1943,-58.3594,49,SA,Argentina,AR,"Buenos Aires Province",AR-B,B,"Coronel Brandsen",0,,,EML,,,,50,2016-06-03T15:13:02+00:00
12936,64CL,balloonport,"Goodyear Blimp Base Airport",33.855333,-118.276234,21,NA,"United States",US,California,US-CA,CA,Gardena,0,64CL,,64CL,,,,50,2020-12-29T11:30:26+00:00
11644,4OH6,balloonport,"Wingfoot Lake Airship Operations Balloonport",41.009498596191406,-81.35790252685547,1164,NA,"United States",US,Ohio,US-OH,OH,"Akron Suffield",0,4OH6,,4OH6,,,,25,2008-06-13T14:30:04+00:00
10140,35JY,balloonport,"Cyber Density Balloon Spot Balloonport",40.43439865112305,-74.63469696044922,75,NA,"United States",US,"New Jersey",US-NJ,NJ,"Belle Mead",0,35JY,,35JY,,,,25,2008-06-13T14:30:04+00:00
21769,MA26,balloonport,"Balloon Port At Dingley Dell Balloonport",42.120399475097656,-72.2562026977539,465,NA,"United States",US,Massachusetts,US-MA,MA,Brimfield,0,MA26,,MA26,,,,25,2008-06-13T14:30:04+00:00
24352,RI16,balloonport,"Keskinen Balloonport",41.71991,-71.631603,255,NA,"United States",US,"Rhode Island",US-RI,RI,Coventry,0,RI16,,RI16,,,,25,2021-10-29T12:31:29+00:00
23079,NJ34,balloonport,"P & A Deptford Heliport",39.844601,-75.091301,30,NA,"United States",US,"New Jersey",US-NJ,NJ,Deptford,0,,,,,,NJ34,25,2020-10-08T16:07:09+00:00
