Id,Ident,Type,Name,Latitude_deg,Longitude_deg,Elevation_ft,Continent,Country_name,Iso_country,Region_name,Iso_region,Local_region,Municipality,Scheduled_service,Gps_code,Iata_code,Local_code,Home_link,Wikipedia_link,Keywords,Score,Last_updated
2223,EDDT,closed,"Berlin-Tegel Otto Lilienthal Airport",52.5597,13.2877,122,EU,Germany,DE,Berlin,DE-BE,BE,Berlin,0,EDDT,TXL,,http://www.berlin-airport.de/en/travellers-txl/index.php,https://en.wikipedia.org/wiki/Berlin_Tegel_Airport,"TXL, EDDT, Otto Lilienthal",1012675,2021-05-06T17:20:43+00:00
2209,DE-0440,closed,"Berlin-Schönefeld Airport",52.380001,13.5225,157,EU,Germany,DE,Brandenburg,DE-BR,BR,Berlin,0,,,,http://www.berlin-airport.de/en/travellers-sxf/index.php,https://en.wikipedia.org/wiki/Berlin-Sch%C3%B6nefeld_International_Airport,"BER, EDDB, ETBS, Schoenefeld, Terminal 5",1275,2021-05-06T17:23:17+00:00
1956,CYXD,closed,"Edmonton City Centre (Blatchford Field) Airport",53.5724983215,-113.521003723,2202,NA,Canada,CA,Alberta,CA-AB,AB,Edmonton,0,CYXD,YXD,CYXD,http://corporate.flyeia.com/general_aviation/edmonton_city_centre,https://en.wikipedia.org/wiki/Edmonton_City_Centre_(Blatchford_Field)_Airport,"YEA, YXD",875,2013-11-30T19:41:47+00:00
2215,DE-0456,closed,"Berlin Tempelhof Airport",52.473,13.4039,167,EU,Germany,DE,Berlin,DE-BE,BE,Berlin,0,,,,,https://en.wikipedia.org/wiki/Tempelhof_International_Airport,"BER, EDDI, THF",899,2021-11-06T23:28:46+00:00
3769,KPFN,closed,"Panama City-Bay Co International Airport",30.212099,-85.6828,20,NA,"United States",US,Florida,US-FL,FL,"Panama City",0,,,,,https://en.wikipedia.org/wiki/Panama_City-Bay_County_International_Airport,"KPFN, PFN",1050,2019-08-06T22:00:07+00:00
28112,VHHX,closed,"Hong Kong International Airport Kai Tak",22.320304,114.198074,28,AS,"Hong Kong",HK,(unassigned),HK-U-A,U-A,"Kowloon City, Kowloon",0,VHHX,HKG,,,https://en.wikipedia.org/wiki/Kai_Tak_Airport,"checkerboard, kowloon, Kaitak, RAF Kai Tak",301,2021-01-11T19:05:15+00:00
28117,NO-0099,closed,"Oslo, Fornebu Airport",59.895802,10.6172,,EU,Norway,NO,Viken,NO-30,30,Oslo,0,,,,,https://en.wikipedia.org/wiki/Oslo_Airport%2C_Fornebu,"ENFB, FBU",1,2021-11-20T06:19:53+00:00
29673,LGAT,closed,"Athens Hellenikon International Airport",37.89162,23.730211,69,EU,Greece,GR,Attica,GR-I,I,Athens,0,,,,,,"HEW, LGAT",50,2021-11-03T15:40:45+00:00
27224,CN-0164,closed,"Qingdao Liuting Airport",36.266102,120.374001,33,AS,China,CN,"Shandong Province",CN-37,37,Qingdao,0,,TAO,,,https://en.wikipedia.org/wiki/Qingdao_Liuting_International_Airport,ZSQD,800,2021-12-20T17:57:58+00:00
20188,KISN,closed,"Sloulin Field International Airport",48.177898,-103.641998,1982,NA,"United States",US,"North Dakota",US-ND,ND,Williston,0,KISN,ISN,ISN,,,,250,2020-09-24T13:40:41+00:00
27307,KCGX,closed,"Chicago Meigs Airport",41.85879898071289,-87.60790252685547,593,NA,"United States",US,Illinois,US-IL,IL,Chicago,0,KCGX,CGX,,,https://en.wikipedia.org/wiki/Meigs_Field,"Mayor Daley",1,2008-07-27T17:18:28+00:00
6073,SEQU,closed,"Mariscal Sucre International Airport",-0.141144,-78.488197,9228,SA,Ecuador,EC,"Pichincha Province",EC-P,P,Quito,0,SEQU,,,http://www.aeropuertoquito.aero/,https://en.wikipedia.org/wiki/Old_Mariscal_Sucre_International_Airport,"Quito, Ecuador, Dangerous, Closed, Mountains, Volcano, America, Middle of the world",475,2021-07-31T17:39:11+00:00
37,SA30,closed,"Colonia Catriel Airport",-37.9101982117,-67.8349990845,1026,SA,Argentina,AR,"Río Negro Province",AR-R,R,"Colonia Catriel",0,SA30,CCT,CLT,,https://en.wikipedia.org/wiki/Colonia_Catriel_Airport,"SA30, SA0U",50,2014-07-13T11:20:12+00:00
4415,LLET,closed,"Eilat Airport",29.559945,34.959612,42,AS,Israel,IL,"Southern District",IL-D,D,Eilat,0,LLET,ETH,,,https://en.wikipedia.org/wiki/Eilat_Airport,"J. Hozman",875,2020-09-24T13:38:31+00:00
5747,RPVT,closed,"Tagbilaran Airport",9.665442,123.853533,38,AS,Philippines,PH,"Bohol Province",PH-BOH,BOH,"Tagbilaran City",0,RPVT,TAG,,,https://en.wikipedia.org/wiki/Tagbilaran_Airport,,800,2020-09-24T14:06:45+00:00
2437,EGMH,closed,"Kent International Airport (Manston)",51.342201,1.34611,178,EU,"United Kingdom",GB,England,GB-ENG,ENG,Manston,0,EGMH,MSE,,http://www.kentinternationalairport-manston.com/,https://en.wikipedia.org/wiki/Kent_International_Airport,"RAF Manston, Ramsgate, EGUM, Manston Airport",475,2021-04-30T22:43:40+00:00
21077,KSKY,closed,"Griffing Sandusky Airport",41.4333992004,-82.6522979736,580,NA,"United States",US,Ohio,US-OH,OH,Sandusky,0,KSKY,SKY,SKY,,https://en.wikipedia.org/wiki/Griffing_Sandusky_Airport,,50,2015-07-19T10:18:06+00:00
3178,HEAX,closed,"El Nuzha Airport",31.181681,29.94629,-6,AF,Egypt,EG,"Alexandria Governorate",EG-ALX,ALX,Alexandria,0,HEAX,ALY,,,https://en.wikipedia.org/wiki/El_Nouzha_Airport,"Alexandria International Airport",875,2022-02-13T11:31:54+00:00
2306,EFHF,closed,"Helsinki Malmi Airport",60.254601,25.042801,57,EU,Finland,FI,"Uusimaa Region",FI-18,18,Helsinki,0,EFHF,HEM,,,https://en.wikipedia.org/wiki/Helsinki-Malmi_Airport,,250,2021-11-05T05:17:04+00:00
822,CDU9,closed,"Dunnville Airport",42.872200012200004,-79.5958023071,600,NA,Canada,CA,Ontario,CA-ON,ON,Dunnville,0,CDU9,,CDU9,,https://en.wikipedia.org/wiki/Dunnville_Airport,"DU9, BCATP",50,2013-07-07T20:37:44+00:00
19788,KEYQ,closed,"Weiser Air Park",29.9352,-95.639603,137,NA,"United States",US,Texas,US-TX,TX,Houston,0,,,,,https://en.wikipedia.org/wiki/Weiser_Air_Park,"KEYQ, EYQ, F H Jackson",50,2021-02-14T21:04:34+00:00
2482,EGTG,closed,"Bristol Filton Airport",51.5194015503,-2.59083008766,226,EU,"United Kingdom",GB,England,GB-ENG,ENG,Bristol,0,EGTG,FZO,,http://www.bristolfilton.co.uk/,https://en.wikipedia.org/wiki/Bristol_Filton_Airport,"RAF Filton",750,2015-05-21T04:47:23+00:00
20163,KIGX,closed,"Horace Williams Airport",35.935001,-79.065902,512,NA,"United States",US,"North Carolina",US-NC,NC,"Chapel Hill",0,,,,http://fa.unc.edu/enterprises/airport/,https://en.wikipedia.org/wiki/Horace_Williams_Airport,"KIGX, IGX, W52, Martindale Field",50,2019-06-21T11:48:50+00:00
