Id,Ident,Type,Name,Latitude_deg,Longitude_deg,Gps_code,Iata_code,Local_code
3,AGGH,large_airport,Honiara International Airport,-9.428,160.054993,AGGH,HIR,
4,AGGM,medium_airport,Munda Airport,-8.32797,157.263,AGGM,MUA,
8,ANYN,medium_airport,Nauru International Airport,-0.547458,166.919006,ANYN,INU,
24,SA14,small_airport,Miramar Airport,-38.2271,-57.8697,SAEM,MJR,IRA
53,AYBK,medium_airport,Buka Airport,-5.4223198890686035,154.67300415039062,AYBK,BUA,
54,AYCH,medium_airport,Chimbu Airport,-6.024290084838867,144.9709930419922,AYCH,CMU,
55,AYDU,medium_airport,Daru Airport,-9.08675956726,143.207992554,AYDU,DAU,
56,AYGA,medium_airport,Goroka Airport,-6.081689834590001,145.391998291,AYGA,GKA,
57,AYGN,medium_airport,Gurney Airport,-10.3114995956,150.333999634,AYGN,GUR,
58,AYGR,medium_airport,Girua Airport,-8.80453968048,148.309005737,AYGR,PNP,
59,AYHK,medium_airport,Hoskins Airport,-5.463846,150.407327,AYHK,HKN,
60,AYKM,medium_airport,Kerema Airport,-7.96361017227,145.770996094,AYKM,KMA,
61,AYKV,medium_airport,Kavieng Airport,-2.57940006256,150.807998657,AYKV,KVG,
62,AYMD,medium_airport,Madang Airport,-5.20707988739,145.789001465,AYMD,MAG,
63,AYMH,medium_airport,Mount Hagen Kagamuga Airport,-5.826789855957031,144.29600524902344,AYMH,HGU,
64,AYMN,medium_airport,Mendi Airport,-6.14774,143.656998,AYMN,MDU,
65,AYMO,large_airport,Momote Airport,-2.06189,147.423996,AYMO,MAS,
66,AYNZ,medium_airport,Nadzab Airport,-6.569803,146.725977,AYNZ,LAE,
67,AYPY,large_airport,Port Moresby Jacksons International Airport,-9.443380355834961,147.22000122070312,AYPY,POM,
68,AYTK,medium_airport,Tokua Airport,-4.34046,152.380005,AYTK,RAB,
69,AYVN,medium_airport,Vanimo Airport,-2.6926,141.3028,AYVN,VAI,
70,AYWD,medium_airport,Wapenamanda Airport,-5.6433,143.895004,AYWD,WBM,
71,AYWK,medium_airport,Wewak International Airport,-3.58383011818,143.669006348,AYWK,WWK,
72,UBBL,small_airport,Lankaran International Airport,38.757919,48.807042,UBBL,LLK,
