Id,Ident,Type,Name,Latitude_deg,Longitude_deg,Elevation_ft,Continent,Country_name,Iso_country,Region_name,Iso_region,Local_region,Municipality,Scheduled_service,Gps_code,Iata_code,Local_code,Home_link,Wikipedia_link,Keywords,Score,Last_updated,TranslateName
2434,EGLL,large_airport,"London Heathrow Airport",51.4706,-0.461941,83,EU,"United Kingdom",GB,England,GB-ENG,ENG,London,1,EGLL,LHR,,http://www.heathrowairport.com/,https://en.wikipedia.org/wiki/Heathrow_Airport,"LON, Londres",1251675,2019-10-19T10:16:49+00:00,伦敦希思罗机场
3632,KLAX,large_airport,"Los Angeles International Airport",33.942501,-118.407997,125,NA,"United States",US,California,US-CA,CA,"Los Angeles",1,KLAX,LAX,LAX,https://www.flylax.com/,https://en.wikipedia.org/wiki/Los_Angeles_International_Airport,,1335475,2020-04-26T22:37:22+00:00,洛杉矶机场
3754,KORD,large_airport,"Chicago O'Hare International Airport",41.9786,-87.9048,672,NA,"United States",US,Illinois,US-IL,IL,Chicago,1,KORD,ORD,ORD,https://www.flychicago.com/ohare/home/pages/default.aspx,https://en.wikipedia.org/wiki/O'Hare_International_Airport,"CHI, Orchard Place",1503175,2018-09-16T02:35:35+00:00,芝加哥机场
3622,KJFK,large_airport,"John F Kennedy International Airport",40.639801,-73.7789,13,NA,"United States",US,"New York",US-NY,NY,"New York",1,KJFK,JFK,JFK,https://www.jfkairport.com/,https://en.wikipedia.org/wiki/John_F._Kennedy_International_Airport,"Manhattan, New York City, NYC, Idlewild, IDL, KIDL",1052075,2021-11-21T19:43:08+00:00,肯尼迪机场
3384,KATL,large_airport,"Hartsfield Jackson Atlanta International Airport",33.6367,-84.428101,1026,NA,"United States",US,Georgia,US-GA,GA,Atlanta,1,KATL,ATL,ATL,http://www.atlanta-airport.com/,https://en.wikipedia.org/wiki/Hartsfield–Jackson_Atlanta_International_Airport,,2002475,2018-09-19T14:50:01+00:00,亚特兰大机场
3878,KSFO,large_airport,"San Francisco International Airport",37.61899948120117,-122.375,13,NA,"United States",US,California,US-CA,CA,"San Francisco",1,KSFO,SFO,SFO,http://www.flysfo.com/,https://en.wikipedia.org/wiki/San_Francisco_International_Airport,"QSF, QBA",1112475,2008-06-13T14:30:04+00:00,旧金山机场
4185,LFPG,large_airport,"Charles de Gaulle International Airport",49.012798,2.55,392,EU,France,FR,Île-de-France,FR-IDF,IDF,Paris,1,LFPG,CDG,,http://www.aeroportsdeparis.fr/,https://en.wikipedia.org/wiki/Charles_de_Gaulle_Airport,"PAR, Aéroport Roissy-Charles de Gaulle, Roissy Airport",1127475,2018-09-15T03:23:45+00:00,戴高乐机场
2513,EHAM,large_airport,"Amsterdam Airport Schiphol",52.308601,4.76389,-11,EU,Netherlands,NL,Noord-Holland,NL-NH,NH,Amsterdam,1,EHAM,AMS,,http://www.schiphol.nl/,https://en.wikipedia.org/wiki/Amsterdam_Airport_Schiphol,,1093275,2021-07-22T18:15:47+00:00,荷兰阿姆斯特丹斯史基浦(西霍普)机场
2212,EDDF,large_airport,"Frankfurt am Main Airport",50.036249,8.559294,364,EU,Germany,DE,Hesse,DE-HE,HE,"Frankfurt am Main",1,EDDF,FRA,,http://www.frankfurt-airport.de/,https://en.wikipedia.org/wiki/Frankfurt_Airport,"EDAF, Rhein-Main Air Base",1144675,2022-02-07T09:52:09+00:00,法兰克福机场
3488,KDFW,large_airport,"Dallas Fort Worth International Airport",32.896801,-97.038002,607,NA,"United States",US,Texas,US-TX,TX,"Dallas-Fort Worth",1,KDFW,DFW,DFW,https://www.dfwairport.com/,https://en.wikipedia.org/wiki/Dallas/Fort_Worth_International_Airport,QDF,1203175,2018-09-19T14:53:02+00:00,达拉斯沃尔斯堡机场
