Id,Ident,Type,Name,Latitude_deg,Longitude_deg,Elevation_ft,Continent,Country_name,Iso_country,Region_name,Iso_region,Local_region,Municipality,Scheduled_service,Gps_code,Iata_code,Local_code,Home_link,Wikipedia_link,Keywords,Score,Last_updated
1947,CYWH,seaplane_base,"Victoria Harbour Seaplane Base",48.423782,-123.37198,,NA,Canada,CA,"British Columbia",CA-BC,BC,Victoria,1,CYWH,YWH,,,https://en.wikipedia.org/wiki/Victoria_Inner_Harbour_Airport,,625,2021-01-20T14:57:12+00:00
28453,CYHC,seaplane_base,"Vancouver Harbour Water Aerodrome",49.291265,-123.11717,,NA,Canada,CA,"British Columbia",CA-BC,BC,Vancouver,1,CYHC,CXH,,,https://en.wikipedia.org/wiki/Vancouver_Harbour_Water_Aerodrome,"Vancouver Coal Harbour Seaplane Base",325,2021-01-14T11:26:43+00:00
21567,PALH,seaplane_base,"Lake Hood Airport",61.18,-149.972003,71,NA,"United States",US,Alaska,US-AK,AK,Anchorage,0,PALH,,LHD,,https://en.wikipedia.org/wiki/Lake_Hood_Seaplane_Base,"Lake Hood Seaplane Base",25,2019-03-16T19:25:09+00:00
17191,F57,seaplane_base,"Jack Browns Seaplane Base",28.0575008392334,-81.76280212402344,140,NA,"United States",US,Florida,US-FL,FL,"Winter Haven",0,F57,,F57,,,,25,2008-06-13T14:30:04+00:00
24380,S60,seaplane_base,"Kenmore Air Harbor Inc Seaplane Base",47.7547988892,-122.259002686,14,NA,"United States",US,Washington,US-WA,WA,Kenmore,1,S60,KEH,S60,,https://en.wikipedia.org/wiki/Kenmore_Air_Harbor,,25,2013-09-12T17:48:05+00:00
25589,W55,seaplane_base,"Kenmore Air Harbor Seaplane Base",47.6290016174,-122.338996887,14,NA,"United States",US,Washington,US-WA,WA,Seattle,1,W55,LKE,W55,http://www.kenmoreair.com/flight-information/terminals/seattle-terminals/seattle-lake-union-seaplane-terminal/,https://en.wikipedia.org/wiki/Kenmore_Air_Harbor_Seaplane_Base,"WA57, Lake Union",25,2015-11-21T15:55:29+00:00
28454,CAM9,seaplane_base,"Vancouver International Seaplane Base",49.177047,-123.168154,0,NA,Canada,CA,"British Columbia",CA-BC,BC,Vancouver,1,CAM9,,CAM9,,https://en.wikipedia.org/wiki/Vancouver_International_Water_Airport,AM9,25,2016-10-09T20:16:52+00:00
28332,CAC8,seaplane_base,"Nanaimo Harbour Water Airport",49.169813,-123.933845,,NA,Canada,CA,"British Columbia",CA-BC,BC,Nanaimo,1,CAC8,ZNA,CAC8,,https://en.wikipedia.org/wiki/Nanaimo_Harbour_Water_Airport,AC8,25,2021-11-11T10:17:51+00:00
28272,CJM9,seaplane_base,"Kenora Seaplane Base",49.767424,-94.49274,1060,NA,Canada,CA,Ontario,CA-ON,ON,,0,CJM9,,CJM9,,https://en.wikipedia.org/wiki/Kenora_Water_Aerodrome,JM9,25,2016-10-15T23:04:04+00:00
28347,CNV6,seaplane_base,"Orillia/Lake St John Seaplane Base",44.68330001831055,-79.31670379638672,718,NA,Canada,CA,Ontario,CA-ON,ON,,0,CNV6,,CNV6,,,,25,2008-06-13T14:30:04+00:00
